List of databases inside hbtn_0d_tvshows_rate:

Database
information_schema
hbtn_0c_0
hbtn_0d_2
hbtn_0d_tvshows
hbtn_0d_tvshows_rate
hbtn_0d_usa
mysql
performance_schema
sys

List of content in table tv_show_ratings:

tv_show_ratings
show_id	rate
2	0
2	1
2	2
2	3
2	4
2	5
2	6
3	0
3	1
3	2
3	0
3	0
3	1
3	2
3	0
3	0
3	1
3	2
3	3
3	4
3	0
3	1
3	2
3	3
3	4
3	5
3	6
3	7
3	8
3	0
3	1
3	2
3	0
3	1
3	2
3	3
3	4
3	5
3	6
3	0
3	1
3	2
4	0
5	0
6	0
6	0
6	1
6	2
6	3
6	4
6	0
6	0
6	1
6	2
6	3
6	4
6	5
6	6
6	7
6	8
6	0
6	1
6	2
6	3
6	4
6	5
6	6
6	7
6	8
7	0
7	1
7	2
7	0
7	1
7	2
7	3
7	4
7	0
7	1
7	2
8	0
8	1
8	2
8	3
8	4
8	5
8	6
8	0
8	1
8	2
8	3
8	4
8	5
8	6
8	0
8	1
8	2
8	3
8	4
8	5
8	6
8	7
8	8
8	0
8	1
8	2
8	0
8	1
8	2
8	3
8	4
8	5
8	6
8	7
8	8
8	0
8	1
8	2
8	3
8	4
8	0
8	1
8	2
8	3
8	4
8	5
8	6
8	7
8	8
9	0
9	1
9	2
9	0
9	1
9	2
9	3
9	4
9	5
9	6
9	0
10	0
10	0
10	1
10	2
10	3
10	4
10	5
10	6
10	7
10	8
10	0
10	1
10	2
10	3
10	4
10	5
10	6
10	0
10	0
10	1
10	2
10	0
10	1
10	2
10	3
10	4
10	5
10	6
10	7
10	8
10	0
10	1
10	2
10	3
10	4
10	0
10	1
10	2
10	3
10	4
10	5
10	6
10	7
10	8
10	0
10	1
10	2
11	0
11	1
11	2
11	3
11	4

List of content in table tv_genres:
tv_genres
id	name
1	Drama
2	Mystery
3	Adventure
4	Fantasy
5	Comedy
6	Crime
7	Suspense
8	Thriller

List of content in table tv_show_genres:
tv_show_genres
show_id	genre_id
2	1
2	2
3	3
3	1
3	4
4	5
5	5
6	5
7	6
7	1
7	7
7	8
9	6
9	1
9	2
9	7
9	8
11	5
11	1

List of content in table tv_shows:
tv_shows
id	title
2	House
3	Game of Thrones
4	The Big Bang Theory
5	New Girl
6	Silicon Valley
7	Breaking Bad
8	Better Call Saul
9	Dexter
10	Homeland
11	The Last Man on Earth
